word,total letters,total occurrences
send,8709,9819
problem,8655,9806
suck,8719,9756
bodi,8511,9709
bring,8856,9697
truth,8518,9685
whatev,8861,9664
pull,8315,9532
plan,8298,9518
kill,8584,9499
cant,7658,9487
wear,7774,9482
pretend,8259,9478
friendship,8082,9439
longer,8440,9355
behind,8501,9328
exist,8410,9206
fine,8045,9200
flirt,7686,9154
mad,7740,9136
pick,8213,9130
attract,7918,9119
colleg,7791,9115
birthday,6666,9066
cours,8108,9048
along,8425,9044
other,8016,9014
front,8173,8936
kept,7642,8933
figur,8169,8909
comfort,8091,8895
regret,7627,8874
babi,7326,8865
strong,7978,8860
soul,7621,8850
star,7523,8829
deep,8100,8825
less,7903,8822
glad,7873,8818
sing,7364,8816
weren,8037,8808
known,7955,8713
car,6897,8642
sens,7836,8618
type,7387,8615
readi,7324,8609
drive,7612,8581
treat,7019,8531
goodby,7273,8518
must,7590,8515
excit,7717,8509
speak,7638,8453
held,7469,8423
wrote,7360,8414
heard,7643,8406
dark,7153,8401
mess,7632,8376
piec,7156,8352
beat,7687,8348
mom,6206,8334
self,7468,8272
sat,6861,8262
accept,7254,8211
kinda,7293,8208
someday,7087,8178
yesterday,7618,8123
goe,7632,8119
post,6947,8102
butterfli,7417,8101
sudden,7413,8063
somehow,7508,8033
book,6408,8031
shouldn,6816,8007
begin,7375,8002
entir,7452,8000
shi,6986,7906
near,7347,7899
grow,6963,7858
spent,7087,7833
sick,6683,7818
nervous,6957,7807
absolut,7363,7786
catch,7135,7748
fear,6515,7708
small,6945,7682
number,6357,7617
across,7075,7593
import,6812,7565
repli,6375,7565
everytim,6725,7540
total,6994,7520
usual,6887,7512
asleep,6709,7502
admit,6891,7473
cold,6545,7471
easi,6670,7447
eat,6418,7428
rather,6805,7387
attent,6650,7387
door,6115,7385
sign,6476,7332
stuff,6536,7302
push,6372,7283
contact,6550,7248
grade,5106,7205
short,6598,7196
romant,6534,7161
silli,6524,7149
worst,6635,7068
sister,5493,7046
cool,6292,7037
enjoy,6321,6980
warm,6358,6960
parent,5717,6950
that,6189,6945
finger,6169,6932
obvious,6488,6898
constant,6329,6804
continu,6174,6768
chest,6311,6752
cannot,5814,6741
often,6275,6731
freak,6224,6720
whether,6098,6672
full,6135,6642
normal,5926,6598
brother,5063,6578
ltc,6052,6566
hot,5893,6554
simpl,6076,6512
courag,6051,6511
sort,5949,6508
bare,6107,6461
toward,5910,6460
site,5750,6454
parti,5388,6442
jealous,5508,6424
hit,5815,6395
lone,5736,6385
random,5866,6372
shoulder,5790,6371
deal,5794,6342
smart,5715,6322
except,5989,6319
lay,5631,6287
annoy,5634,6278
clear,5839,6264
line,5591,6232
four,5400,6228
sincer,6121,6222
